,LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,Unnamed: 15,PARAM_TYPE,NOTE
1126,,,,,,817,LDH,,chartevents,23374,Enzymes,,,,carevue,,,
1127,,,,,,487,Ostomy [Type],,chartevents,23357,,,,,carevue,,,
1128,,,PCA dose,,,224328,PCA dose,None,chartevents,23170,Pain/Sedation,,,,metavision,,Numeric,
1129,,,LDH,,,220632,LDH,None,chartevents,23125,Labs,,,,metavision,,Numeric,
1130,,,,,,783,Blood Products,,chartevents,23047,Hematology,,,,carevue,,,
1131,,,PCA lockout (min),,,224329,PCA lockout (min),min,chartevents,23044,Pain/Sedation,,,,metavision,,Numeric,
1132,,,PCA 1 hour limit,,,224330,PCA 1 hour limit,None,chartevents,23003,Pain/Sedation,,,,metavision,,Numeric,
1133,,,,,,1391,DO2I,,chartevents,22954,,,,,carevue,,,
1134,,,,,,50908,CK-MB INDEX,,labevents,22911,CHEMISTRY,,BLOOD,20569-0,,,,
1135,,,,,,3576,Position at Breast,,chartevents,22673,,,,,carevue,,,
1136,,,,,,8384,Edema #2 [Amount],,chartevents,22519,,,,,carevue,,,
1137,,,,,,50967,PHENYTOIN,,labevents,22453,CHEMISTRY,,BLOOD,7/1/3967,,,,
1138,,,,,,8447,Ostomy [Appearance],,chartevents,22435,,,,,carevue,,,
1139,,,,,,8484,Ventricular Pacemaker [Sensitivity],,chartevents,22418,,,,,carevue,,,
1140,,,,,,40059,Gastric Oral Gastric,,outputevents,22099,,,,,carevue,,,
1141,,,,,,50823,REQUIRED O2,,labevents,22057,BLOOD GAS,,BLOOD,,,,,
1142,,,,,,50801,ALVEOLAR-ARTERIAL GRADIENT,,labevents,22016,BLOOD GAS,,BLOOD,19991-9,,,,
1143,,,16 Gauge placed in the field,,,228098,16 Gauge placed in the field,,chartevents,21942,Access Lines - Peripheral,,,,metavision,,Checkbox,
1144,,,Site Length #3,,,224917,Impaired Skin Length #3,cm,chartevents,21929,Skin - Impairment,,,,metavision,,Numeric,
1145,,,,,,50887,BLUE TOP HOLD,,labevents,21880,CHEMISTRY,,BLOOD,,,,,
1146,,,,,,798,Differential-Lymphs,,chartevents,21872,Hematology,,,,carevue,,,
1147,,,,,,799,Differential-Monos,,chartevents,21871,Hematology,,,,carevue,,,
1148,,,,,,797,Differential-Eos,,chartevents,21870,Hematology,,,,carevue,,,
1149,,,,,,796,Differential-Basos,,chartevents,21869,Hematology,,,,carevue,,,
1150,,,,,,800,Differential-Polys,,chartevents,21868,Hematology,,,,carevue,,,
1151,,,MDI #2 Puff,,,224172,MDI #2 Puff,None,chartevents,21800,Respiratory,,,,metavision,,Numeric,
1152,,,,,,8488,GI Prophylaxis [Drug #2],,chartevents,21737,,,,,carevue,,,
1153,,,,,,3346,Caffeine,,chartevents,21721,,,,,carevue,,,
1154,,,Jackson Pratt #1,,,226599,Jackson Pratt #1,mL,outputevents,21665,Drains,,,,metavision,,Numeric,
1155,,,,,,3336,Breast Assessment,,chartevents,21602,,,,,carevue,,,
1156,,,,,,3684,Vitamin E,,chartevents,21569,,,,,carevue,,,
1157,,,Site Width #3,,,224952,Impaired Skin Width #3,cm,chartevents,21435,Skin - Impairment,,,,metavision,,Numeric,
1158,,,,,,775,Amylase,,chartevents,21358,Enzymes,,,,carevue,,,
1159,,,,,,158,ETT Position Change,,chartevents,21348,,,,,carevue,,,
1160,,,Unable to assess psychological,,,225070,Unable to assess psychological,,chartevents,21333,Adm History/FHPA,,,,metavision,,Checkbox,
1161,,,,,,3480,InterventionAssess,,chartevents,21190,,,,,carevue,,,
1162,,,,,,134,Cooling [Device],,chartevents,21181,,,,,carevue,,,
1163,,,,,,76,Bath,,chartevents,21076,,,,,carevue,,,
1164,,,,,,377,Impaired Skin Site#4,,chartevents,21042,,,,,carevue,,,
1165,,,,,,3688,Vt [Spontaneous],,chartevents,20801,,,,,carevue,,,
1166,,,,,,705,Untoward Effect,,chartevents,20793,,,,,carevue,,,
1167,,,,,,8369,Atrial Pacemaker [Capture],,chartevents,20762,,,,,carevue,,,
1168,,,,,,1483,RSBI Not Completed,,chartevents,20511,,,,,carevue,,,
1169,,,,,,8433,Inc #4 [Status],,chartevents,20440,,,,,carevue,,,
1170,,,Differential-Basos,,,225639,Differential-Basos,None,chartevents,20425,Labs,,,,metavision,,Numeric,
1171,,,Differential-Lymphs,,,225641,Differential-Lymphs,None,chartevents,20425,Labs,,,,metavision,,Numeric,
1172,,,Differential-Monos,,,225642,Differential-Monos,None,chartevents,20425,Labs,,,,metavision,,Numeric,
1173,,,Differential-Neuts,,,225643,Differential-Neuts,None,chartevents,20425,Labs,,,,metavision,,Numeric,
1174,,,Differential-Eos,,,225640,Differential-Eos,None,chartevents,20424,Labs,,,,metavision,,Numeric,
1175,,,CK-MB,,,227445,CK-MB,None,chartevents,20378,Labs,,,,metavision,,Numeric with tag,
1176,,,,,,153,Diastolic Unloading,,chartevents,20299,,,,,carevue,,,
1177,,,,,,8423,Inc #2 [Amount],,chartevents,20218,,,,,carevue,,,
1178,,,,,,8379,Cooling [Status],,chartevents,20203,,,,,carevue,,,
1179,,,,,,500,PCA Total Dose,,chartevents,20044,,,,,carevue,,,
1180,,,Site Depth #1,,,224563,Impaired Skin Depth #1,cm,chartevents,19805,Skin - Impairment,,,,metavision,,Numeric,
1181,,,,,,472,O2AV,,chartevents,19669,,,,,carevue,,,
1182,,,,,,473,O2AVI,,chartevents,19596,,,,,carevue,,,
1183,,,O2 Flow (additional cannula),,,227287,O2 Flow (additional cannula),L/min,chartevents,19339,Respiratory,,,,metavision,,Numeric,
1184,,,PCA inject,,,224332,PCA inject,None,chartevents,19287,Pain/Sedation,,,,metavision,,Numeric,
1185,,,,,,3303,Ampicillin,,chartevents,19248,,,,,carevue,,,
1186,,,,,,573,Pressure Sore Odor#1,,chartevents,19241,,,,,carevue,,,
1187,,,Odor #5,,,224926,Impaired Skin Odor #5,,chartevents,19225,Skin - Impairment,,,,metavision,,Checkbox,
1188,,,PCA attempt,,,224663,PCA attempt,None,chartevents,19216,Pain/Sedation,,,,metavision,,Numeric,
1189,,,,,,641,Sitter,,chartevents,19013,,,,,carevue,,,
1190,,,,,,3409,Environmental Interv,,chartevents,18968,,,,,carevue,,,
1191,,,,,,564,PressSoreCleansing#1,,chartevents,18948,,,,,carevue,,,
1192,,,,,,8470,ROM [Value],,chartevents,18898,,,,,carevue,,,
1193,,,,,,51093,"OSMOLALITY, URINE",,labevents,18842,CHEMISTRY,,URINE,5/1/2695,,,,
1194,,,,,,50964,"OSMOLALITY, MEASURED",,labevents,18817,CHEMISTRY,,BLOOD,2/1/2692,,,,
1195,,,,,,806,Fibrinogen (150-400),,chartevents,18725,Coags,,,,carevue,,,
1196,,,,,,603,Radial Pulse [Right],,chartevents,18682,,,,,carevue,,,
1197,,,CO (Arterial),,,227543,CO (Arterial),L/min,chartevents,18609,Hemodynamics,,,,metavision,,Numeric,
1198,,,,,,51007,URIC ACID,,labevents,18355,CHEMISTRY,,BLOOD,1/1/3084,,,,
1199,,,,,,141,Cuff Pressure-Airway,,chartevents,18296,,,,,carevue,,,
1200,,,,,,717,Ventricular Pacemaker [Sense],,chartevents,18241,,,,,carevue,,,
1201,,,Unable to assess nutrition / education,,,225117,Unable to assess nutrition / education,,chartevents,18237,Adm History/FHPA,,,,metavision,,Checkbox,
1202,,,,,,50952,IRON,,labevents,18207,CHEMISTRY,,BLOOD,4/1/2498,,,,
1203,,,,,,1430,Nausea and Vomiting,,chartevents,18145,,,,,carevue,,,
1204,,,,,,50903,CHOLESTEROL RATIO (TOTAL/HDL),,labevents,18128,CHEMISTRY,,BLOOD,9/1/9322,,,,
1205,,,Hematocrit (whole blood - calc),,,226540,Hematocrit (whole blood - calc),None,chartevents,18080,Labs,,,,metavision,,Numeric,
1206,,,,,,1437,Tremor,,chartevents,18009,,,,,carevue,,,
1207,,,,,,1479,IV #1 Reason DC'D,,chartevents,17993,,,,,carevue,,,
1208,,,,,,1421,Anxiety,,chartevents,17992,,,,,carevue,,,
1209,,,,,,1432,Paroxysmal Sweats,,chartevents,17992,,,,,carevue,,,
1210,,,,,,50924,FERRITIN,,labevents,17948,CHEMISTRY,,BLOOD,4/1/2276,,,,
1211,,,,,,98,CT #2 Crepitus,,chartevents,17903,,,,,carevue,,,
1212,,,,,,1420,Aggitation,,chartevents,17902,,,,,carevue,,,
1213,,,,,,494,PCA Basal Rate,,chartevents,17888,,,,,carevue,,,
1214,,,,,,3538,Nasal Sx Quantity,,chartevents,17735,,,,,carevue,,,
1215,,,,,,40058,Cerebral Drain R Ventricular Drain,,outputevents,17649,,,,,carevue,,,
1216,,,,,,1423,Auditory Disturbance,,chartevents,17587,,,,,carevue,,,
1217,,,,,,3345,CVP Alarm [Low],,chartevents,17541,,,,,carevue,,,
1218,,,,,,1436,Tactile Disturbances,,chartevents,17539,,,,,carevue,,,
1219,,,,,,1428,Headache,,chartevents,17535,,,,,carevue,,,
1220,,,PH (dipstick),,,220734,PH (dipstick),None,chartevents,17524,Labs,,,,metavision,,Numeric,
1221,,,,,,1439,Visual Disturbances,,chartevents,17511,,,,,carevue,,,
1222,,,Discharge needs,,,225133,Discharge needs,,chartevents,17453,Adm History/FHPA,,,,metavision,,Checkbox,
1223,,,CHG Bath,,,228137,CHG Bath,,chartevents,17394,Treatments,,,,metavision,,Checkbox,
1224,,,,,,8511,CVP Alarm [High],,chartevents,17364,,,,,carevue,,,
1225,,,,,,57,Atrial Pacemaker Threshold [Unit],,chartevents,17288,,,,,carevue,,,
1226,,,,,,50998,TRANSFERRIN,,labevents,17285,CHEMISTRY,,BLOOD,7/1/2500,,,,
1227,,,,,,50953,"IRON BINDING CAPACITY, TOTAL",,labevents,17231,CHEMISTRY,,BLOOD,7/1/2500,,,,
1228,,,,,,48,Angio Site #2,,chartevents,17218,,,,,carevue,,,
1229,,,,,,1431,Orient/Clouding Sens,,chartevents,17218,,,,,carevue,,,
1230,,,Specific Gravity (urine),,,227471,Specific Gravity (urine),None,chartevents,17199,Labs,,,,metavision,,Numeric with tag,
1231,,,,,,359,ImpSkin Treatment #4,,chartevents,17186,,,,,carevue,,,
1232,,,,,,568,PressSoreTreatment#2,,chartevents,17047,,,,,carevue,,,
1233,,,,,,8473,Radial Pulse [Left],,chartevents,17019,,,,,carevue,,,
1234,,,,,,855,Vancomycin/Random,,chartevents,16993,Drug Level,,,,carevue,,,
1235,,,,,,51539,TACROFK_2,,labevents,16904,CHEMISTRY,,BLOOD,,,,,
1236,,,,,,1424,CIWA Sum Total,,chartevents,16875,,,,,carevue,,,
1237,,,,,,1401,zzO2AV,,chartevents,16808,,,,,carevue,,,
1238,,,,,,1390,DO2,,chartevents,16788,,,,,carevue,,,
1239,,,,,,1402,zzO2AVI,,chartevents,16758,,,,,carevue,,,
1240,,,SVV (Arterial),,,227546,SVV (Arterial),%,chartevents,16753,Hemodynamics,,,,metavision,,Numeric,
1241,,,Unable to assess activity / mobility,,,225091,Unable to assess activity / mobility,,chartevents,16709,Adm History/FHPA,,,,metavision,,Checkbox,
1242,,,,,,8391,GI#2 Tube [Drain],,chartevents,16676,,,,,carevue,,,
1243,,,,,,51257,NUCLEATED RED CELLS,,labevents,16568,HEMATOLOGY,,BLOOD,772-4,,,,
1244,,,,,,4171,Time,,chartevents,16508,,,,,carevue,,,
1245,,,Spont Vt,,,224421,Spont Vt,mL,chartevents,16461,Respiratory,,,,metavision,,Numeric,
1246,,,,,,3536,Nasal Sx Color,,chartevents,16432,,,,,carevue,,,
1247,,,Unable to assess teaching / learning needs,,,225129,Unable to assess teaching / learning needs,,chartevents,16322,Adm History/FHPA,,,,metavision,,Checkbox,
1248,,,Trach Care,,,227130,Trach Care,,chartevents,16219,Respiratory,,,,metavision,,Checkbox,
1249,,,,,,51260,OVALOCYTES,,labevents,16180,HEMATOLOGY,,BLOOD,774-0,,,,
1250,,,,,,8370,Atrial Pacemaker Threshold [Value],,chartevents,16006,,,,,carevue,,,
1251,,,,,,1528,Fibrinogen,,chartevents,15727,Coags,,,,carevue,,,
1252,,,,,,466,Nursing Consultation,,chartevents,15679,,,,,carevue,,,
1253,,,,,,287,INV#5 WaveformAppear,,chartevents,15611,,,,,carevue,,,
1254,,,,,,1706,Ventricular Pacemaker Sense [mV],,chartevents,15528,,,,,carevue,,,
1255,,,,,,1063,bath,,chartevents,15527,,,,,carevue,,,
1256,,,,,,3448,Grandparents Visit,,chartevents,15233,,,,,carevue,,,
1257,,,Unable to assess cognitive / perceptual,,,225086,Unable to assess cognitive / perceptual,,chartevents,15224,Adm History/FHPA,,,,metavision,,Checkbox,
1258,,,,,,8482,Ventricular Pacemaker [Capture],,chartevents,15205,,,,,carevue,,,
1259,,,,,,389,Inc #4 [Closure],,chartevents,15200,,,,,carevue,,,
1260,,,,,,8407,ImpSkin #2 [Amount],,chartevents,15124,,,,,carevue,,,
1261,,,,,,51482,HYALINE CASTS,,labevents,15122,HEMATOLOGY,,URINE,8/1/5796,,,,
1262,,,,,,3328,Behavioral State,,chartevents,15058,,,,,carevue,,,
1263,,,,,,512,PVR,,chartevents,14931,,,,,carevue,,,
1264,,,See chart for initial patient assessment,,,225175,See chart for initial patient assessment,,chartevents,14848,Adm History/FHPA,,,,metavision,,Checkbox,
1265,,,,,,347,ImpSkin Character #4,,chartevents,14810,,,,,carevue,,,
1266,,,,,,1624,PreSep Catheter SVO2,,chartevents,14438,,,,,carevue,,,
1267,,,,,,687,Trach Care,,chartevents,14339,,,,,carevue,,,
1268,,,Fibrinogen,,,227468,Fibrinogen,None,chartevents,14339,Labs,,,,metavision,,Numeric with tag,
1269,,,,,,3407,Enteral In for Calc.,,chartevents,14301,,,,,carevue,,,
1270,,,,,,51512,URINE MUCOUS,,labevents,14204,HEMATOLOGY,,URINE,9/1/8247,,,,
1271,,,,,,204,GI#2 Tube PlaceCheck,,chartevents,14188,,,,,carevue,,,
1272,,,,,,1517,Readmit <48 hrs,,chartevents,14125,,,,,carevue,,,
1273,,,PCA total dose,,,224665,PCA total dose,None,chartevents,13996,Pain/Sedation,,,,metavision,,Numeric,
1274,,,,,,44,Angio Appearance #2 [Attribute 1],,chartevents,13985,,,,,carevue,,,
1275,,,,,,513,PVRI,,chartevents,13954,,,,,carevue,,,
1276,,,,,,3445,Gentamicin,,chartevents,13866,,,,,carevue,,,
1277,,,,,,795,Differential-Bands,,chartevents,13771,Hematology,,,,carevue,,,
1278,,,Site Length #4,,,224918,Impaired Skin Length #4,cm,chartevents,13752,Skin - Impairment,,,,metavision,,Numeric,
1279,,,,,,3663,Total Enteral/kg/day,,chartevents,13703,,,,,carevue,,,
1280,,,,,,647,Spare Trach Present,,chartevents,13651,,,,,carevue,,,
1281,,,PCA basal rate (mL/hour),,,224331,PCA basal rate (mL/hour),ml/hr,chartevents,13599,Pain/Sedation,,,,metavision,,Numeric,
1282,,,,,,50909,CORTISOL,,labevents,13554,CHEMISTRY,,BLOOD,6/1/2143,,,,
1283,,,Site Width #4,,,224953,Impaired Skin Width #4,cm,chartevents,13516,Skin - Impairment,,,,metavision,,Numeric,
1284,,,,,,368,ImpSkin #1 [Width],,chartevents,13481,,,,,carevue,,,
1285,,,,,,577,Pressure Sore Site#3,,chartevents,13479,,,,,carevue,,,
1286,,,,,,609,Remote Alarm,,chartevents,13444,,,,,carevue,,,
1287,,,,,,3318,BP PAL [Mean],,chartevents,13412,,,,,carevue,,,
1288,,,,,,3319,BP PAL [Systolic],,chartevents,13380,,,,,carevue,,,
1289,,,,,,124,Chest Tube Site #3,,chartevents,13339,,,,,carevue,,,
1290,,,,,,51104,"UREA NITROGEN, URINE",,labevents,13299,CHEMISTRY,,URINE,7/1/3095,,,,
1291,,,,,,3566,Parents in to visit,,chartevents,13279,,,,,carevue,,,
1292,,,,,,7075,NeoBlue Mini,,chartevents,13193,,,,,carevue,,,
1293,,,,,,8419,Inc #4 [Appearance],,chartevents,13141,,,,,carevue,,,
1294,,,,,,176,Epi Infusion Rate,,chartevents,13127,,,,,carevue,,,
1295,,,,,,1480,IV #2 Reason DC'D,,chartevents,13099,,,,,carevue,,,
1296,,,,,,8495,Ventricular Pacemaker Sense [mA],,chartevents,12917,,,,,carevue,,,
1297,,,,,,180,Epidural Medication,,chartevents,12874,,,,,carevue,,,
1298,,,Chest Tube #2,,,226589,Chest Tube #2,mL,outputevents,12840,Output,,,,metavision,,Numeric,
1299,,,SV (Arterial),,,227547,SV (Arterial),mL/beat,chartevents,12724,Hemodynamics,,,,metavision,,Numeric,
1300,,,,,,8424,Inc #3 [Amount],,chartevents,12716,,,,,carevue,,,
1301,,,,,,3546,O2 Tubing Present,,chartevents,12665,,,,,carevue,,,
1302,,,Unable to assess pain,,,225112,Unable to assess pain,,chartevents,12539,Adm History/FHPA,,,,metavision,,Checkbox,
1303,,,,,,415,Incision/Wound #5,,chartevents,12436,,,,,carevue,,,
1304,,,,,,340,Imp Skin Cleanse #3,,chartevents,12400,,,,,carevue,,,
1305,,,,,,3569,Phototherapy Blanket,,chartevents,12350,,,,,carevue,,,
1306,,,,,,3540,Nipple Type,,chartevents,12319,,,,,carevue,,,
1307,,,,,,2139,EDVI,,chartevents,12317,,,,,carevue,,,
1308,,,,,,50815,O2 FLOW,,labevents,12307,BLOOD GAS,,BLOOD,8/1/3151,,,,
1309,,,,,,8505,BP PAL [Diastolic],,chartevents,12217,,,,,carevue,,,
1310,,,,,,259,INV Line#6 [Type],,chartevents,12060,,,,,carevue,,,
1311,,,,,,46,Angio Dressing #2,,chartevents,11997,,,,,carevue,,,
1312,,,,,,3578,Potassium Chloride,,chartevents,11981,,,,,carevue,,,
1313,,,,,,50935,HAPTOGLOBIN,,labevents,11970,CHEMISTRY,,BLOOD,7/1/4542,,,,
1314,,,,,,50976,"PROTEIN, TOTAL",,labevents,11935,CHEMISTRY,,BLOOD,2/1/2885,,,,
1315,,,,,,51010,VITAMIN B12,,labevents,11868,CHEMISTRY,,BLOOD,9/1/2170,,,,
1316,,,,,,51523,GR HOLD,,labevents,11849,CHEMISTRY,,URINE,,,,,
1317,,,,,,419,KneeImmobilizeLoc [Right],,chartevents,11835,,,,,carevue,,,
1318,,,,,,50880,BENZODIAZEPINE SCREEN,,labevents,11823,CHEMISTRY,,BLOOD,42662-7,,,,
1319,,,,,,1433,Seizure,,chartevents,11817,,,,,carevue,,,
1320,,,Unable to assess habits,,,225105,Unable to assess habits,,chartevents,11813,Adm History/FHPA,,,,metavision,,Checkbox,
1321,,,Site Depth #2,,,224895,Impaired Skin Depth #2,cm,chartevents,11800,Skin - Impairment,,,,metavision,,Numeric,
1322,,,,,,8397,INV Line#6 [Site],,chartevents,11786,,,,,carevue,,,
1323,,,,,,50879,BARBITURATE SCREEN,,labevents,11761,CHEMISTRY,,BLOOD,1/1/3376,,,,
1324,,,,,,50999,TRICYCLIC ANTIDEPRESSANT SCREEN,,labevents,11723,CHEMISTRY,,BLOOD,3/1/4073,,,,
1325,,,,,,571,PressSoreWoundBase#2,,chartevents,11694,,,,,carevue,,,
1326,,,,,,365,ImpSkin Wound Base#4,,chartevents,11510,,,,,carevue,,,
1327,,,,,,380,Inc Cleansing #1,,chartevents,11483,,,,,carevue,,,
1328,,,,,,43176,Blood Out Lab,,outputevents,11471,,,,,carevue,,,
1329,,,PA Catheter Dressing Occlusive,,,227351,PA Catheter Dressing Occlusive,,chartevents,11432,Access Lines - Invasive,,,,metavision,,Checkbox,
1330,,,,,,3412,Erythromycin Oint.,,chartevents,11364,,,,,carevue,,,
1331,,,Odor #6,,,224927,Impaired Skin Odor #6,,chartevents,11223,Skin - Impairment,,,,metavision,,Checkbox,
1332,,,,,,40072,Drain Out #2 Jackson Pratt,,outputevents,11188,,,,,carevue,,,
1333,,,,,,8410,ImpSkin #1 [Length],,chartevents,11186,,,,,carevue,,,
1334,,,,,,41707,Chest Tubes CTICU CT 2,,outputevents,11172,,,,,carevue,,,
1335,,,,,,179,Epidural Location,,chartevents,11033,,,,,carevue,,,
1336,,,Nasogastric,,,226575,Nasogastric,mL,outputevents,10986,Output,,,,metavision,,Numeric,
1337,,,,,,162,Ectopy Type 2,,chartevents,10957,,,,,carevue,,,
1338,,,,,,354,ImpSkin #4 [Drain],,chartevents,10957,,,,,carevue,,,
1339,,,,,,671,TCPCV Insp. Time,,chartevents,10942,,,,,carevue,,,
1340,,,,,,51097,"POTASSIUM, URINE",,labevents,10938,CHEMISTRY,,URINE,2/1/2828,,,,
1341,,,,,,50986,TACROFK,,labevents,10914,CHEMISTRY,,BLOOD,11253-2,,,,
1342,,,,,,670,TCPCV Insp. Pressure,,chartevents,10873,,,,,carevue,,,
1343,,,,,,822,Mixed Venous O2,,chartevents,10859,Blood Gases,,,,carevue,,,
1344,,,,,,697,Traction/Immobile #1,,chartevents,10857,,,,,carevue,,,
1345,,,,,,1429,Insomnia,,chartevents,10846,,,,,carevue,,,
1346,,,PAP Alarm - High,,,220063,Pulmonary Artery Pressure Alarm - High,mmHg,chartevents,10704,Alarms,,,,metavision,,Numeric,
1347,,,,,,1700,GI#3 Intub Site,,chartevents,10687,,,,,carevue,,,
1348,,,,,,75,Baseline Current/mA,,chartevents,10634,,,,,carevue,,,
1349,,,,,,1701,GI Tube #3 [Status],,chartevents,10628,,,,,carevue,,,
1350,,,,,,858,Venous PvCO2,,chartevents,10623,VBG's,,,,carevue,,,
1351,,,,,,193,Flatus,,chartevents,10614,,,,,carevue,,,
1352,,,PAP Alarm - Low,,,220066,Pulmonary Artery Pressure Alarm - Low,mmHg,chartevents,10608,Alarms,,,,metavision,,Numeric,
1353,,,,,,3393,Disease State,,chartevents,10592,,,,,carevue,,,
1354,,,PA Catheter placed in outside facility,,,226114,PA Catheter placed in outside facility,,chartevents,10570,Access Lines - Invasive,,,,metavision,,Checkbox,
1355,,,,,,859,Venous PvO2,,chartevents,10512,Mixed Venous Gases,,,,carevue,,,
1356,,,,,,186,FIO2 Alarm-Low,,chartevents,10341,,,,,carevue,,,
1357,,,,,,51287,SCHISTOCYTES,,labevents,10339,HEMATOLOGY,,BLOOD,800-3,,,,
1358,,,,,,1426,Drowsiness,,chartevents,10278,,,,,carevue,,,
1359,,,Arctic Sun/Alsius Temp #1 C,,,227632,Arctic Sun/Alsius Temp #1 C,?C,chartevents,10144,Routine Vital Signs,,,,metavision,,Numeric,
1360,,,,,,1434,Slurred Speech,,chartevents,10137,,,,,carevue,,,
1361,,,,,,693,Tract/Imm Location#1,,chartevents,10084,,,,,carevue,,,
1362,,,,,,51283,"RETICULOCYTE COUNT, AUTOMATED",,labevents,10075,HEMATOLOGY,,BLOOD,17849-1,,,,
1363,,,,,,552,Pressure Sore #2 [Stage],,chartevents,10062,,,,,carevue,,,
1364,,,Temp Atrial Sens Setting mV,,,224753,Temporary Atrial Sens Setting mV,mV,chartevents,10051,Cardiovascular (Pacer Data),,,,metavision,,Numeric,
1365,,,,,,105,CT #3 Dressing,,chartevents,10032,,,,,carevue,,,
1366,,,,,,673,TOF Response/Twitch,,chartevents,10032,,,,,carevue,,,
1367,,,,,,378,Impaired Skin Site#5,,chartevents,9974,,,,,carevue,,,
1368,,,Mixed Venous O2% Sat,,,225674,Mixed Venous O2% Sat,%,chartevents,9867,Labs,,,,metavision,,Numeric,
1369,,,,,,50922,ETHANOL,,labevents,9864,CHEMISTRY,,BLOOD,4/1/5642,,,,
1370,,,Temp Atrial Stim Setting mA,,,224755,Temporary Atrial Stim Setting mA,mA,chartevents,9847,Cardiovascular (Pacer Data),,,,metavision,,Numeric,
1371,,,,,,107,CT #3 Suction Amount,,chartevents,9810,,,,,carevue,,,
1372,,,,,,1435,Sustained Nystamus,,chartevents,9791,,,,,carevue,,,
1373,,,,,,672,TCPCV-MAP,,chartevents,9771,,,,,carevue,,,
1374,,,Lipase,,,225672,Lipase,None,chartevents,9766,Labs,,,,metavision,,Numeric,
1375,,,Arctic Sun/Alsius Temp #2 C,,,227634,Arctic Sun/Alsius Temp #2 C,?C,chartevents,9697,Routine Vital Signs,,,,metavision,,Numeric,
1376,,,,,,3685,Vitamin K,,chartevents,9696,,,,,carevue,,,
1377,,,,,,3759,HGB  (10.8-15.8),,chartevents,9685,Heme/Coag,,,,carevue,,,
1378,,,,,,254,INV Line#5 Zero/Cal,,chartevents,9608,,,,,carevue,,,
1379,,,,,,50856,ACETAMINOPHEN,,labevents,9560,CHEMISTRY,,BLOOD,9/1/3297,,,,
1380,,,CO (thermodilution),,,220088,Cardiac Output (thermodilution),L/min,chartevents,9546,Hemodynamics,,,,metavision,,Numeric,
1381,,,,,,3837,pO2,,chartevents,9485,ABG'S,,,,carevue,,,
1382,,,,,,262,INV Line#6SiteAppear,,chartevents,9475,,,,,carevue,,,
1383,,,,,,74,Base Excess,,chartevents,9468,,,,,carevue,,,
1384,,,,,,457,NMB Medication,,chartevents,9462,,,,,carevue,,,
1385,,,,,,160,Ectopy Frequency 2,,chartevents,9459,,,,,carevue,,,
1386,,,Current Used/mA,,,224662,Current Used/mA,mA,chartevents,9389,Pain/Sedation,,,,metavision,,Numeric,
1387,,,,,,51079,"COCAINE, URINE",,labevents,9387,CHEMISTRY,,URINE,7/1/3397,,,,
1388,,,Oral Gastric,,,226576,Oral Gastric,mL,outputevents,9344,Output,,,,metavision,,Numeric,
1389,,,,,,628,Sedation Score,,chartevents,9339,,,,,carevue,,,
1390,,,,,,51075,"BENZODIAZEPINE SCREEN, URINE",,labevents,9328,CHEMISTRY,,URINE,2/1/3390,,,,
1391,,,,,,401,Inc #5 [Dressing],,chartevents,9310,,,,,carevue,,,
1392,,,,,,51071,"AMPHETAMINE SCREEN, URINE",,labevents,9310,CHEMISTRY,,URINE,8/1/3349,,,,
1393,,,,,,51092,"OPIATE SCREEN, URINE",,labevents,9308,CHEMISTRY,,URINE,4/1/3879,,,,
1394,,,,,,51074,"BARBITURATE SCREEN, URINE",,labevents,9287,CHEMISTRY,,URINE,9/1/3377,,,,
1395,,,,,,51090,"METHADONE, URINE",,labevents,9263,CHEMISTRY,,URINE,9/1/3773,,,,
1396,,,,,,460,Nerve Stimulated,,chartevents,9257,,,,,carevue,,,
1397,,,,,,669,TCPCV I:E Ratio,,chartevents,9170,,,,,carevue,,,
1398,,,,,,3834,WhiteBloodC 4.0-11.0,,chartevents,9162,Heme/Coag,,,,carevue,,,
1399,,,,,,50919,EDTA HOLD,,labevents,9155,CHEMISTRY,,BLOOD,,,,,
1400,,,,,,8434,KneeImmobilizeLoc [Left],,chartevents,9119,,,,,carevue,,,
1401,,,,,,185,FIO2 Alarm-High,,chartevents,9115,,,,,carevue,,,
1402,,,,,,3564,Parent Ed/Support,,chartevents,9091,,,,,carevue,,,
1403,,,,,,50981,SALICYLATE,,labevents,9087,CHEMISTRY,,BLOOD,8/1/4023,,,,
1404,,,,,,51102,"TOTAL PROTEIN, URINE",,labevents,9080,CHEMISTRY,,URINE,8/1/2887,,,,
1405,,,,,,104,CT #3 Drainage,,chartevents,9059,,,,,carevue,,,
1406,,,,,,51296,TEARDROP CELLS,,labevents,8995,HEMATOLOGY,,BLOOD,7/1/7791,,,,
1407,,,,,,734,Working Pressure,,chartevents,8988,,,,,carevue,,,
1408,,,,,,3483,Kangaroo Care [Time],,chartevents,8965,,,,,carevue,,,
1409,,,Site Length #5,,,224919,Impaired Skin Length #5,cm,chartevents,8932,Skin - Impairment,,,,metavision,,Numeric,
1410,,,,,,8404,ImpSkin #3 [Amount],,chartevents,8836,,,,,carevue,,,
1411,,,ICP Line Dressing Occlusive,,,227363,ICP Line Dressing Occlusive,,chartevents,8778,Access Lines - Invasive,,,,metavision,,Checkbox,
